,grafo,best,conv,avg,worst,time,procs,conf,deviation
206,laplace/laplace16,760,94,761.6,800,0.061,4,7,0.0021052631578947667
207,laplace/laplace25,1000,3,1050.8,1100,0.08199999999999999,4,7,0.050799999999999956
208,laplace/laplace36,1300,0,1360.6,1410,0.114,4,7,0.07984126984126977
209,fft/fft15,560,100,560.0,560,0.057999999999999996,4,7,0.0
210,fft/fft39,840,0,866.2,920,0.124,4,7,0.0563414634146342
211,fft/fft95,1600,1,1663.4,1820,0.276,4,7,0.039625000000000056
212,fft/fft223,3560,0,3665.2,3800,0.6409999999999999,4,7,0.041249999999999946
213,random/random30,751,27,770.69,828,0.107,4,7,0.026218375499334295
214,random/random40,552,0,571.75,604,0.139,4,7,0.03954545454545454
215,random/random50,496,5,513.04,540,0.141,4,7,0.03435483870967734
216,morady/TG4,34,100,34.0,34,0.03,4,8,0.0
217,morady/TG9,21,99,21.02,23,0.036000000000000004,4,8,0.0009523809523809321
218,morady/TG10,83,100,83.0,83,0.038,4,8,0.0
219,morady/TG11,20,100,20.0,20,0.038,4,8,0.0
220,morady/TG12,27,61,28.56,33,0.038,4,8,0.057777777777777733
221,morady/TG14,35,19,36.92,41,0.04,4,8,0.0548571428571429
222,morady/TG17,37,67,37.33,38,0.046,4,8,0.008918918918918873
223,morady/TG18,440,14,474.2,530,0.044000000000000004,4,8,0.0777272727272727
224,morady/TGG9,16,100,16.0,16,0.036000000000000004,4,8,0.0
225,morady/TGG11,49,100,49.0,49,0.04,4,8,0.0
226,morady/TGGG11,12,100,12.0,12,0.039,4,8,0.0
227,gauss/GAUSS18,44,20,47.16,54,0.046,4,8,0.07181818181818174
228,gauss/gauss27,67,2,72.36,78,0.054000000000000006,4,8,0.07999999999999999
229,gauss/gauss35,92,0,96.74,102,0.066,4,8,0.06307692307692302
230,gauss/gauss44,118,0,123.91,133,0.07400000000000001,4,8,0.06818965517241377
231,gauss/gauss65,176,0,187.39,200,0.09699999999999999,4,8,0.083179190751445
232,laplace/laplace9,520,100,520.0,520,0.038,4,8,0.0
233,laplace/laplace16,760,89,763.0,800,0.044000000000000004,4,8,0.003947368421052632
234,laplace/laplace25,1000,6,1045.2,1110,0.054000000000000006,4,8,0.045200000000000046
235,laplace/laplace36,1280,0,1356.8,1400,0.068,4,8,0.07682539682539678
236,fft/fft15,560,91,561.8,580,0.043,4,8,0.003214285714285633
237,fft/fft39,840,0,881.0,940,0.071,4,8,0.07439024390243902
238,fft/fft95,1620,0,1682.2,1760,0.11699999999999999,4,8,0.05137500000000003
239,fft/fft223,3580,0,3671.0,3820,0.24100000000000002,4,8,0.042897727272727275
240,random/random30,751,13,787.78,828,0.065,4,8,0.04897470039946734
241,random/random40,551,0,585.64,691,0.079,4,8,0.06479999999999997
242,random/random50,496,4,518.4,556,0.07400000000000001,4,8,0.0451612903225806
243,morady/TG4,34,100,34.0,34,0.028999999999999998,4,9,0.0
244,morady/TG9,21,99,21.02,23,0.038,4,9,0.0009523809523809321
245,morady/TG10,83,100,83.0,83,0.039,4,9,0.0
246,morady/TG11,20,99,20.01,21,0.040999999999999995,4,9,0.0005000000000000782
247,morady/TG12,27,28,30.1,33,0.042,4,9,0.11481481481481487
248,morady/TG14,35,20,37.07,42,0.044000000000000004,4,9,0.05914285714285715
249,morady/TG17,37,49,37.55,39,0.054000000000000006,4,9,0.014864864864864788
250,morady/TG18,440,5,484.3,550,0.053,4,9,0.1006818181818182
251,morady/TGG9,16,100,16.0,16,0.038,4,9,0.0
252,morady/TGG11,49,100,49.0,49,0.055,4,9,0.0
253,morady/TGGG11,12,100,12.0,12,0.043,4,9,0.0
254,gauss/GAUSS18,44,3,48.73,55,0.054000000000000006,4,9,0.10749999999999993
255,gauss/gauss27,69,0,75.09,83,0.087,4,9,0.12074626865671646
256,gauss/gauss35,94,0,100.55,114,0.087,4,9,0.10494505494505492
257,gauss/gauss44,121,0,129.46,142,0.10099999999999999,4,9,0.11603448275862076
258,gauss/gauss65,181,0,193.36,207,0.13699999999999998,4,9,0.11768786127167638
259,laplace/laplace9,520,100,520.0,520,0.039,4,9,0.0
260,laplace/laplace16,760,72,769.2,830,0.048,4,9,0.012105263157894796
261,laplace/laplace25,1020,0,1063.7,1110,0.063,4,9,0.06370000000000005
262,laplace/laplace36,1310,0,1373.9,1430,0.085,4,9,0.09039682539682548
263,fft/fft15,560,79,564.2,580,0.048,4,9,0.007500000000000081
264,fft/fft39,840,0,887.6,940,0.092,4,9,0.08243902439024393
265,fft/fft95,1620,0,1676.4,1720,0.17600000000000002,4,9,0.047750000000000056
266,fft/fft223,3540,0,3593.6,3660,0.41100000000000003,4,9,0.020909090909090884
267,random/random30,751,27,785.29,828,0.08,4,9,0.04565912117177092
268,random/random40,553,0,586.05,632,0.099,4,9,0.06554545454545446
269,random/random50,496,2,534.04,584,0.1,4,9,0.0766935483870967
270,morady/TG4,34,100,34.0,34,0.043,4,10,0.0
271,morady/TG9,21,99,21.02,23,0.055999999999999994,4,10,0.0009523809523809321
272,morady/TG10,83,100,83.0,83,0.057999999999999996,4,10,0.0
273,morady/TG11,20,98,20.02,21,0.063,4,10,0.0009999999999999788
274,morady/TG12,27,64,28.5,33,0.063,4,10,0.05555555555555555
275,morady/TG14,35,41,36.37,41,0.066,4,10,0.03914285714285707
276,morady/TG17,37,78,37.23,39,0.079,4,10,0.006216216216216132
277,morady/TG18,440,37,461.9,530,0.08,4,10,0.04977272727272722
278,morady/TGG9,16,100,16.0,16,0.057999999999999996,4,10,0.0
279,morady/TGG11,49,100,49.0,49,0.064,4,10,0.0
280,morady/TGGG11,12,100,12.0,12,0.064,4,10,0.0
281,gauss/GAUSS18,44,43,46.09,52,0.083,4,10,0.04750000000000008
282,gauss/gauss27,67,4,71.43,80,0.10300000000000001,4,10,0.06611940298507472
283,gauss/gauss35,91,1,96.14,104,0.131,4,10,0.05648351648351649
284,gauss/gauss44,118,0,123.13,132,0.168,4,10,0.06146551724137927
285,gauss/gauss65,175,0,186.25,196,0.26899999999999996,4,10,0.07658959537572255
286,laplace/laplace9,520,100,520.0,520,0.055999999999999994,4,10,0.0
287,laplace/laplace16,760,83,764.5,800,0.073,4,10,0.0059210526315789476
288,laplace/laplace25,1000,5,1048.9,1110,0.098,4,10,0.04890000000000009
289,laplace/laplace36,1280,0,1356.1,1400,0.136,4,10,0.0762698412698412
290,fft/fft15,560,92,561.6,580,0.07,4,10,0.002857142857142898
291,fft/fft39,840,0,878.2,940,0.146,4,10,0.07097560975609761
292,fft/fft95,1640,0,1710.6,1800,0.406,4,10,0.06912499999999994
293,fft/fft223,3600,0,3767.8,3940,1.476,4,10,0.07039772727272732
294,random/random30,751,12,784.15,879,0.131,4,10,0.04414114513981355
295,random/random40,554,0,583.61,625,0.161,4,10,0.06110909090909093
296,random/random50,496,2,518.28,552,0.183,4,10,0.044919354838709624
297,morady/TG4,34,100,34.0,34,0.036000000000000004,4,11,0.0
298,morady/TG9,21,100,21.0,21,0.042,4,11,0.0
299,morady/TG10,83,100,83.0,83,0.043,4,11,0.0
300,morady/TG11,20,99,20.01,21,0.045,4,11,0.0005000000000000782
301,morady/TG12,27,59,28.76,33,0.045,4,11,0.06518518518518525
302,morady/TG14,35,40,36.41,40,0.047,4,11,0.04028571428571419
303,morady/TG17,37,67,37.33,38,0.054000000000000006,4,11,0.008918918918918873
304,morady/TG18,440,30,462.4,490,0.052000000000000005,4,11,0.050909090909090855
305,morady/TGG9,16,100,16.0,16,0.044000000000000004,4,11,0.0
306,morady/TGG11,49,100,49.0,49,0.051,4,11,0.0
307,morady/TGGG11,12,100,12.0,12,0.05,4,11,0.0
308,gauss/GAUSS18,44,29,46.56,52,0.057999999999999996,4,11,0.05818181818181823
309,gauss/gauss27,67,4,71.88,80,0.068,4,11,0.07283582089552232
310,gauss/gauss35,93,0,96.86,104,0.08199999999999999,4,11,0.06439560439560439
311,gauss/gauss44,118,0,123.22,133,0.095,4,11,0.06224137931034482
312,gauss/gauss65,177,0,186.13,196,0.11900000000000001,4,11,0.07589595375722541
313,laplace/laplace9,520,100,520.0,520,0.044000000000000004,4,11,0.0
314,laplace/laplace16,760,83,764.7,800,0.054000000000000006,4,11,0.006184210526315849
315,laplace/laplace25,1000,8,1046.4,1100,0.067,4,11,0.046400000000000094
316,laplace/laplace36,1280,0,1352.5,1400,0.08800000000000001,4,11,0.07341269841269842
317,fft/fft15,560,93,561.4,580,0.06,4,11,0.0024999999999999593
318,fft/fft39,840,0,877.6,940,0.086,4,11,0.07024390243902442
319,fft/fft95,1620,0,1677.8,1760,0.138,4,11,0.048624999999999974
320,fft/fft223,3580,0,3649.4,3820,0.297,4,11,0.03676136363636366
321,random/random30,751,14,778.46,828,0.086,4,11,0.03656458055925438
322,random/random40,555,0,579.65,614,0.10400000000000001,4,11,0.053909090909090865
323,random/random50,496,6,517.0,552,0.09,4,11,0.04233870967741935
324,morady/TG4,34,100,34.0,34,0.053,4,12,0.0
325,morady/TG9,21,100,21.0,21,0.065,4,12,0.0
326,morady/TG10,83,100,83.0,83,0.068,4,12,0.0
327,morady/TG11,20,100,20.0,20,0.07400000000000001,4,12,0.0
328,morady/TG12,27,65,28.42,33,0.075,4,12,0.052592592592592656
329,morady/TG14,35,35,36.54,41,0.08199999999999999,4,12,0.04399999999999998
330,morady/TG17,37,60,37.4,38,0.092,4,12,0.010810810810810773
331,morady/TG18,440,35,464.0,520,0.095,4,12,0.05454545454545454
332,morady/TGG9,16,100,16.0,16,0.067,4,12,0.0
333,morady/TGG11,49,100,49.0,49,0.077,4,12,0.0
334,morady/TGGG11,12,100,12.0,12,0.076,4,12,0.0
335,gauss/GAUSS18,44,46,46.16,49,0.09,4,12,0.04909090909090901
336,gauss/gauss27,67,3,72.12,78,0.11699999999999999,4,12,0.07641791044776126
337,gauss/gauss35,91,4,96.12,104,0.15,4,12,0.05626373626373631
338,gauss/gauss44,116,1,123.12,132,0.18600000000000003,4,12,0.061379310344827624
339,gauss/gauss65,177,0,187.19,198,0.302,4,12,0.08202312138728322
340,laplace/laplace9,520,100,520.0,520,0.066,4,12,0.0
341,laplace/laplace16,760,91,762.6,800,0.084,4,12,0.0034210526315789774
342,laplace/laplace25,1000,6,1043.9,1100,0.11199999999999999,4,12,0.04390000000000009
343,laplace/laplace36,1300,0,1356.7,1410,0.157,4,12,0.07674603174603178
344,fft/fft15,560,87,562.6,580,0.081,4,12,0.004642857142857184
345,fft/fft39,840,0,886.0,940,0.172,4,12,0.08048780487804878
346,fft/fft95,1640,0,1707.0,1800,0.473,4,12,0.066875
347,fft/fft223,3620,0,3767.8,3920,1.6969999999999998,4,12,0.07039772727272732
348,random/random30,751,11,789.67,850,0.156,4,12,0.051491344873501946
349,random/random40,556,0,582.67,625,0.20199999999999999,4,12,0.059399999999999925
350,random/random50,496,3,521.88,568,0.221,4,12,0.0521774193548387
351,morady/TG4,34,100,34.0,34,0.048,4,13,0.0
352,morady/TG9,21,100,21.0,21,0.059000000000000004,4,13,0.0
353,morady/TG10,83,100,83.0,83,0.06,4,13,0.0
354,morady/TG11,20,100,20.0,20,0.068,4,13,0.0
355,morady/TG12,27,63,28.5,33,0.067,4,13,0.05555555555555555
356,morady/TG14,35,33,36.61,41,0.068,4,13,0.045999999999999985
357,morady/TG17,37,63,37.37,38,0.08199999999999999,4,13,0.00999999999999993
358,morady/TG18,440,36,465.6,520,0.08199999999999999,4,13,0.05818181818181823
359,morady/TGG9,16,100,16.0,16,0.059000000000000004,4,13,0.0
360,morady/TGG11,49,100,49.0,49,0.065,4,13,0.0
361,morady/TGGG11,12,100,12.0,12,0.065,4,13,0.0
362,gauss/GAUSS18,44,32,46.58,51,0.08199999999999999,4,13,0.0586363636363636
363,gauss/gauss27,67,5,72.27,78,0.10400000000000001,4,13,0.07865671641791039
364,gauss/gauss35,91,1,96.25,102,0.142,4,13,0.057692307692307696
365,gauss/gauss44,116,1,124.16,133,0.172,4,13,0.07034482758620687
366,gauss/gauss65,175,0,186.83,204,0.263,4,13,0.07994219653179198
367,laplace/laplace9,520,100,520.0,520,0.057,4,13,0.0
368,laplace/laplace16,760,85,763.9,800,0.07400000000000001,4,13,0.0051315789473683916
369,laplace/laplace25,1000,5,1048.3,1110,0.1,4,13,0.048299999999999954
370,laplace/laplace36,1300,0,1358.4,1400,0.138,4,13,0.07809523809523816
371,fft/fft15,560,94,561.2,580,0.07200000000000001,4,13,0.002142857142857224
372,fft/fft39,840,0,885.4,940,0.149,4,13,0.07975609756097558
373,fft/fft95,1640,0,1687.8,1760,0.444,4,13,0.05487499999999997
374,fft/fft223,3580,0,3721.8,3920,1.6869999999999998,4,13,0.05732954545454551
375,random/random30,751,21,781.3,828,0.135,4,13,0.040346205059920044
376,random/random40,557,0,582.25,618,0.179,4,13,0.05863636363636364
377,random/random50,496,3,520.76,572,0.2,4,13,0.049919354838709656
378,morady/TG4,34,100,34.0,34,0.047,4,14,0.0
379,morady/TG9,21,100,21.0,21,0.055999999999999994,4,14,0.0
380,morady/TG10,83,100,83.0,83,0.063,4,14,0.0
381,morady/TG11,20,100,20.0,20,0.062,4,14,0.0
382,morady/TG12,27,56,28.8,33,0.061,4,14,0.0666666666666667
383,morady/TG14,35,26,36.76,39,0.064,4,14,0.05028571428571423
384,morady/TG17,37,67,37.33,38,0.073,4,14,0.008918918918918873
385,morady/TG18,440,24,469.0,490,0.07400000000000001,4,14,0.0659090909090909
386,morady/TGG9,16,100,16.0,16,0.057,4,14,0.0
387,morady/TGG11,49,100,49.0,49,0.062,4,14,0.0
388,morady/TGGG11,12,100,12.0,12,0.065,4,14,0.0
389,gauss/GAUSS18,44,28,46.96,55,0.073,4,14,0.06727272727272729
390,gauss/gauss27,67,11,71.61,78,0.085,4,14,0.06880597014925373
391,gauss/gauss35,92,0,96.17,102,0.10300000000000001,4,14,0.05681318681318683
392,gauss/gauss44,116,1,123.12,132,0.113,4,14,0.061379310344827624
393,gauss/gauss65,177,0,186.33,196,0.14400000000000002,4,14,0.07705202312138736
394,laplace/laplace9,520,100,520.0,520,0.055,4,14,0.0
395,laplace/laplace16,760,90,763.1,800,0.069,4,14,0.004078947368421082
396,laplace/laplace25,1000,3,1043.9,1100,0.083,4,14,0.04390000000000009
397,laplace/laplace36,1300,0,1359.4,1410,0.11,4,14,0.07888888888888897
398,fft/fft15,560,94,561.2,580,0.067,4,14,0.002142857142857224
399,fft/fft39,840,0,874.8,940,0.10800000000000001,4,14,0.06682926829268288
400,fft/fft95,1620,0,1658.0,1720,0.18600000000000003,4,14,0.03625
401,fft/fft223,3540,0,3608.4,3700,0.389,4,14,0.02511363636363639
402,random/random30,751,27,777.23,828,0.11199999999999999,4,14,0.034926764314247696
403,random/random40,551,0,576.26,620,0.131,4,14,0.04774545454545453
404,random/random50,496,3,516.88,556,0.114,4,14,0.042096774193548375
