,grafo,best,conv,avg,worst,time,procs,conf,npops,deviation
0,morady/TG9,21,100,21.0,21,0.032,4,6,1,0.0
1,morady/TG10,83,100,83.0,83,0.033,4,6,1,0.0
2,morady/TG11,20,100,20.0,20,0.034,4,6,1,0.0
3,morady/TG12,27,81,27.76,31,0.034,4,6,1,0.028148148148148207
4,morady/TG14,35,31,36.61,39,0.035,4,6,1,0.045999999999999985
5,morady/TG17,37,74,37.26,38,0.040999999999999995,4,6,1,0.0070270270270269735
6,morady/TG18,440,35,462.8,490,0.04,4,6,1,0.05181818181818185
7,morady/TGG9,16,100,16.0,16,0.043,4,6,1,0.0
8,morady/TGG11,49,100,49.0,49,0.038,4,6,1,0.0
9,morady/TGGG11,12,100,12.0,12,0.034,4,6,1,0.0
10,gauss/gauss27,67,2,71.07,80,0.048,4,6,1,0.06074626865671632
11,gauss/gauss35,91,1,96.45,102,0.06,4,6,1,0.05989010989010992
12,gauss/gauss44,116,1,124.37,132,0.067,4,6,1,0.07215517241379314
13,gauss/gauss65,176,0,186.92,201,0.084,4,6,1,0.08046242774566467
14,laplace/laplace9,520,100,520.0,520,0.032,4,6,1,0.0
15,laplace/laplace16,760,96,760.8,790,0.039,4,6,1,0.0010526315789473085
16,laplace/laplace25,1000,3,1043.4,1100,0.047,4,6,1,0.04340000000000009
17,laplace/laplace36,1300,0,1352.3,1420,0.06,4,6,1,0.07325396825396822
18,fft/fft15,560,98,560.4,580,0.038,4,6,1,0.0007142857142856737
19,fft/fft39,840,0,877.8,940,0.061,4,6,1,0.07048780487804872
20,fft/fft95,1620,0,1674.8,1760,0.102,4,6,1,0.04674999999999997
21,fft/fft223,3580,0,3666.2,3760,0.214,4,6,1,0.04153409090909086
22,random/random30,751,35,772.08,828,0.057999999999999996,4,6,1,0.028069241011984075
23,random/random40,555,0,578.77,630,0.071,4,6,1,0.052309090909090875
24,random/random50,496,4,518.72,548,0.065,4,6,1,0.04580645161290328
25,morady/TG9,21,100,21.0,21,0.017,4,6,2,0.0
26,morady/TG10,83,100,83.0,83,0.017,4,6,2,0.0
27,morady/TG11,20,100,20.0,20,0.018000000000000002,4,6,2,0.0
28,morady/TG12,27,80,27.8,31,0.018000000000000002,4,6,2,0.029629629629629655
29,morady/TG14,35,39,36.36,38,0.018000000000000002,4,6,2,0.03885714285714284
30,morady/TG17,37,75,37.25,38,0.021,4,6,2,0.006756756756756757
31,morady/TG18,440,35,462.9,490,0.021,4,6,2,0.05204545454545449
32,morady/TGG9,16,100,16.0,16,0.017,4,6,2,0.0
33,morady/TGG11,49,100,49.0,49,0.018000000000000002,4,6,2,0.0
34,morady/TGGG11,12,100,12.0,12,0.018000000000000002,4,6,2,0.0
35,gauss/gauss27,67,1,71.6,78,0.026000000000000002,4,6,2,0.06865671641791037
36,gauss/gauss35,91,1,96.06,103,0.032,4,6,2,0.05560439560439563
37,gauss/gauss44,118,0,123.67,134,0.036000000000000004,4,6,2,0.06612068965517243
38,gauss/gauss65,176,0,186.8,198,0.047,4,6,2,0.0797687861271677
39,laplace/laplace9,520,100,520.0,520,0.017,4,6,2,0.0
40,laplace/laplace16,760,94,761.4,790,0.021,4,6,2,0.0018421052631578648
41,laplace/laplace25,1000,4,1042.0,1080,0.025,4,6,2,0.042
42,laplace/laplace36,1300,0,1355.2,1400,0.033,4,6,2,0.0755555555555556
43,fft/fft15,560,98,560.4,580,0.02,4,6,2,0.0007142857142856737
44,fft/fft39,840,0,880.6,940,0.033,4,6,2,0.07390243902439027
45,fft/fft95,1620,0,1679.4,1780,0.057,4,6,2,0.04962500000000006
46,fft/fft223,3560,0,3664.8,3840,0.124,4,6,2,0.041136363636363686
47,random/random30,751,46,768.64,826,0.031,4,6,2,0.02348868175765644
48,random/random40,554,0,579.65,618,0.04,4,6,2,0.053909090909090865
49,random/random50,496,2,518.84,564,0.036000000000000004,4,6,2,0.04604838709677426
50,morady/TG9,21,100,21.0,21,0.02,4,6,3,0.0
51,morady/TG10,83,100,83.0,83,0.02,4,6,3,0.0
52,morady/TG11,20,100,20.0,20,0.021,4,6,3,0.0
53,morady/TG12,27,81,27.76,31,0.021,4,6,3,0.028148148148148207
54,morady/TG14,35,34,36.42,38,0.022000000000000002,4,6,3,0.04057142857142862
55,morady/TG17,37,76,37.24,38,0.025,4,6,3,0.00648648648648654
56,morady/TG18,440,37,462.9,490,0.024,4,6,3,0.05204545454545449
57,morady/TGG9,16,100,16.0,16,0.02,4,6,3,0.0
58,morady/TGG11,49,100,49.0,49,0.021,4,6,3,0.0
59,morady/TGGG11,12,100,12.0,12,0.021,4,6,3,0.0
60,gauss/gauss27,67,4,71.44,77,0.027999999999999997,4,6,3,0.06626865671641788
61,gauss/gauss35,91,1,96.17,102,0.036000000000000004,4,6,3,0.05681318681318683
62,gauss/gauss44,118,0,123.24,132,0.040999999999999995,4,6,3,0.06241379310344823
63,gauss/gauss65,178,0,187.02,200,0.052000000000000005,4,6,3,0.08104046242774572
64,laplace/laplace9,520,100,520.0,520,0.02,4,6,3,0.0
65,laplace/laplace16,760,97,760.9,790,0.023,4,6,3,0.0011842105263157596
66,laplace/laplace25,1000,9,1040.1,1080,0.027000000000000003,4,6,3,0.04009999999999991
67,laplace/laplace36,1310,0,1348.6,1390,0.037000000000000005,4,6,3,0.07031746031746025
68,fft/fft15,560,97,560.6,580,0.023,4,6,3,0.001071428571428612
69,fft/fft39,840,0,883.6,940,0.037000000000000005,4,6,3,0.07756097560975612
70,fft/fft95,1620,0,1677.4,1760,0.065,4,6,3,0.04837500000000006
71,fft/fft223,3560,0,3672.8,3800,0.132,4,6,3,0.04340909090909096
72,random/random30,751,26,774.77,828,0.034,4,6,3,0.03165113182423433
73,random/random40,556,0,581.25,623,0.042,4,6,3,0.056818181818181816
74,random/random50,496,1,519.96,556,0.04,4,6,3,0.0483064516129033
75,morady/TG9,21,100,21.0,21,0.018000000000000002,4,6,4,0.0
76,morady/TG10,83,100,83.0,83,0.02,4,6,4,0.0
77,morady/TG11,20,100,20.0,20,0.018000000000000002,4,6,4,0.0
78,morady/TG12,27,81,27.74,31,0.022000000000000002,4,6,4,0.02740740740740735
79,morady/TG14,35,39,36.36,39,0.016,4,6,4,0.03885714285714284
80,morady/TG17,37,81,37.19,38,0.018000000000000002,4,6,4,0.005135135135135074
81,morady/TG18,440,30,464.0,490,0.026000000000000002,4,6,4,0.05454545454545454
82,morady/TGG9,16,100,16.0,16,0.021,4,6,4,0.0
83,morady/TGG11,49,100,49.0,49,0.024,4,6,4,0.0
84,morady/TGGG11,12,100,12.0,12,0.019,4,6,4,0.0
85,gauss/gauss27,67,5,70.9,78,0.023,4,6,4,0.058208955223880685
86,gauss/gauss35,92,0,96.29,102,0.037000000000000005,4,6,4,0.0581318681318682
87,gauss/gauss44,116,1,123.72,131,0.052000000000000005,4,6,4,0.06655172413793102
88,gauss/gauss65,176,0,186.25,199,0.08900000000000001,4,6,4,0.07658959537572255
89,laplace/laplace9,520,100,520.0,520,0.035,4,6,4,0.0
90,laplace/laplace16,760,94,761.4,790,0.042,4,6,4,0.0018421052631578648
91,laplace/laplace25,1000,4,1041.7,1080,0.044000000000000004,4,6,4,0.04170000000000004
92,laplace/laplace36,1280,0,1355.5,1400,0.057,4,6,4,0.07579365079365079
93,fft/fft15,560,99,560.2,580,0.032,4,6,4,0.00035714285714293835
94,fft/fft39,860,0,883.4,940,0.068,4,6,4,0.07731707317073168
95,fft/fft95,1600,1,1688.2,1800,0.113,4,6,4,0.05512500000000003
96,fft/fft223,3560,0,3673.4,3820,0.203,4,6,4,0.04357954545454548
97,random/random30,751,26,780.88,872,0.065,4,6,4,0.03978695073235685
98,random/random40,557,0,581.57,610,0.07,4,6,4,0.05740000000000009
99,random/random50,496,2,518.04,568,0.062,4,6,4,0.04443548387096767
100,morady/TG9,21,100,21.0,21,0.046,4,6,5,0.0
101,morady/TG10,83,100,83.0,83,0.054000000000000006,4,6,5,0.0
102,morady/TG11,20,100,20.0,20,0.048,4,6,5,0.0
103,morady/TG12,27,89,27.44,31,0.053,4,6,5,0.016296296296296343
104,morady/TG14,35,34,36.45,38,0.054000000000000006,4,6,5,0.04142857142857151
105,morady/TG17,37,82,37.18,38,0.052000000000000005,4,6,5,0.004864864864864857
106,morady/TG18,440,38,460.9,490,0.055,4,6,5,0.047499999999999945
107,morady/TGG9,16,100,16.0,16,0.046,4,6,5,0.0
108,morady/TGG11,49,100,49.0,49,0.05,4,6,5,0.0
109,morady/TGGG11,12,100,12.0,12,0.048,4,6,5,0.0
110,gauss/gauss27,67,4,71.16,77,0.054000000000000006,4,6,5,0.06208955223880592
111,gauss/gauss35,93,0,96.13,103,0.048,4,6,5,0.05637362637362632
112,gauss/gauss44,116,1,123.4,132,0.057,4,6,5,0.0637931034482759
113,gauss/gauss65,175,0,186.13,206,0.07,4,6,5,0.07589595375722541
114,laplace/laplace9,520,100,520.0,520,0.027000000000000003,4,6,5,0.0
115,laplace/laplace16,760,90,762.1,800,0.032,4,6,5,0.002763157894736872
116,laplace/laplace25,1000,6,1040.4,1100,0.037000000000000005,4,6,5,0.04040000000000009
117,laplace/laplace36,1300,0,1353.3,1400,0.048,4,6,5,0.07404761904761901
118,fft/fft15,560,98,560.4,580,0.033,4,6,5,0.0007142857142856737
119,fft/fft39,840,0,882.8,940,0.053,4,6,5,0.07658536585365848
120,fft/fft95,1620,0,1689.0,1800,0.086,4,6,5,0.055625
121,fft/fft223,3600,0,3689.4,3840,0.166,4,6,5,0.04812500000000003
122,random/random30,751,28,776.36,828,0.045,4,6,5,0.0337683089214381
123,random/random40,554,0,582.08,614,0.054000000000000006,4,6,5,0.058327272727272804
124,random/random50,496,2,518.52,560,0.053,4,6,5,0.04540322580645158
125,morady/TG9,21,100,21.0,21,0.026000000000000002,4,6,6,0.0
126,morady/TG10,83,100,83.0,83,0.027000000000000003,4,6,6,0.0
127,morady/TG11,20,100,20.0,20,0.027000000000000003,4,6,6,0.0
128,morady/TG12,27,85,27.6,31,0.027000000000000003,4,6,6,0.022222222222222275
129,morady/TG14,35,34,36.45,38,0.028999999999999998,4,6,6,0.04142857142857151
130,morady/TG17,37,88,37.12,38,0.031,4,6,6,0.003243243243243174
131,morady/TG18,440,34,461.7,490,0.031,4,6,6,0.049318181818181796
132,morady/TGG9,16,100,16.0,16,0.025,4,6,6,0.0
133,morady/TGG11,49,100,49.0,49,0.027000000000000003,4,6,6,0.0
134,morady/TGGG11,12,100,12.0,12,0.027000000000000003,4,6,6,0.0
135,gauss/gauss27,67,4,70.98,78,0.04,4,6,6,0.05940298507462693
136,gauss/gauss35,91,1,96.07,102,0.044000000000000004,4,6,6,0.05571428571428564
137,gauss/gauss44,118,0,123.41,134,0.06,4,6,6,0.06387931034482755
138,gauss/gauss65,177,0,185.44,198,0.08199999999999999,4,6,6,0.07190751445086704
139,laplace/laplace9,520,100,520.0,520,0.03,4,6,6,0.0
140,laplace/laplace16,760,97,760.7,790,0.031,4,6,6,0.0009210526315790072
141,laplace/laplace25,1000,2,1041.6,1080,0.035,4,6,6,0.04159999999999991
142,laplace/laplace36,1300,0,1355.0,1390,0.044000000000000004,4,6,6,0.07539682539682539
143,fft/fft15,560,100,560.0,560,0.03,4,6,6,0.0
144,fft/fft39,840,0,881.8,940,0.046,4,6,6,0.07536585365853653
145,fft/fft95,1640,0,1690.2,1780,0.079,4,6,6,0.05637500000000003
146,fft/fft223,3580,0,3688.8,3820,0.15,4,6,6,0.04795454545454551
147,random/random30,751,20,778.61,828,0.042,4,6,6,0.036764314247669794
148,random/random40,551,0,580.69,626,0.05,4,6,6,0.0558000000000001
149,random/random50,496,5,516.04,552,0.049,4,6,6,0.04040322580645154
150,morady/TG9,21,100,21.0,21,0.028999999999999998,4,6,7,0.0
151,morady/TG10,83,100,83.0,83,0.027999999999999997,4,6,7,0.0
152,morady/TG11,20,100,20.0,20,0.028999999999999998,4,6,7,0.0
153,morady/TG12,27,82,27.72,31,0.03,4,6,7,0.026666666666666623
154,morady/TG14,35,39,36.27,38,0.03,4,6,7,0.03628571428571437
155,morady/TG17,37,89,37.11,38,0.032,4,6,7,0.002972972972972958
156,morady/TG18,440,49,458.7,490,0.032,4,6,7,0.042499999999999975
157,morady/TGG9,16,100,16.0,16,0.028999999999999998,4,6,7,0.0
158,morady/TGG11,49,100,49.0,49,0.03,4,6,7,0.0
159,morady/TGGG11,12,100,12.0,12,0.03,4,6,7,0.0
160,gauss/gauss27,67,12,70.37,77,0.038,4,6,7,0.05029850746268664
161,gauss/gauss35,91,1,95.92,102,0.045,4,6,7,0.05406593406593409
162,gauss/gauss44,118,0,122.96,133,0.052000000000000005,4,6,7,0.05999999999999995
163,gauss/gauss65,175,0,185.16,195,0.063,4,6,7,0.07028901734104044
164,laplace/laplace9,520,100,520.0,520,0.027000000000000003,4,6,7,0.0
165,laplace/laplace16,760,98,760.4,790,0.033,4,6,7,0.0005263157894736543
166,laplace/laplace25,1000,3,1041.0,1090,0.037000000000000005,4,6,7,0.041
167,laplace/laplace36,1310,0,1355.4,1390,0.047,4,6,7,0.07571428571428579
168,fft/fft15,560,99,560.2,580,0.03,4,6,7,0.00035714285714293835
169,fft/fft39,840,0,880.2,940,0.048,4,6,7,0.07341463414634151
170,fft/fft95,1620,0,1692.4,1780,0.078,4,6,7,0.05775000000000006
171,fft/fft223,3600,0,3684.4,3820,0.166,4,6,7,0.04670454545454548
172,random/random30,751,30,773.2,828,0.042,4,6,7,0.02956058588548608
173,random/random40,552,0,577.87,612,0.052000000000000005,4,6,7,0.05067272727272728
174,random/random50,496,1,518.04,544,0.052000000000000005,4,6,7,0.04443548387096767
175,morady/TG9,21,100,21.0,21,0.026000000000000002,4,6,8,0.0
176,morady/TG10,83,100,83.0,83,0.027000000000000003,4,6,8,0.0
177,morady/TG11,20,100,20.0,20,0.027000000000000003,4,6,8,0.0
178,morady/TG12,27,81,27.76,31,0.027999999999999997,4,6,8,0.028148148148148207
179,morady/TG14,35,39,36.32,38,0.03,4,6,8,0.03771428571428572
180,morady/TG17,37,88,37.12,38,0.031,4,6,8,0.003243243243243174
181,morady/TG18,440,44,458.6,490,0.032,4,6,8,0.04227272727272732
182,morady/TGG9,16,100,16.0,16,0.026000000000000002,4,6,8,0.0
183,morady/TGG11,49,100,49.0,49,0.028999999999999998,4,6,8,0.0
184,morady/TGGG11,12,100,12.0,12,0.027999999999999997,4,6,8,0.0
185,gauss/gauss27,67,3,70.63,77,0.037000000000000005,4,6,8,0.05417910447761187
186,gauss/gauss35,91,1,95.9,102,0.044000000000000004,4,6,8,0.05384615384615391
187,gauss/gauss44,118,0,122.63,130,0.048,4,6,8,0.057155172413793066
188,gauss/gauss65,175,0,185.9,196,0.062,4,6,8,0.07456647398843934
189,laplace/laplace9,520,100,520.0,520,0.036000000000000004,4,6,8,0.0
190,laplace/laplace16,760,99,760.1,770,0.046,4,6,8,0.00013157894736845097
191,laplace/laplace25,1000,3,1042.6,1080,0.051,4,6,8,0.04259999999999991
192,laplace/laplace36,1270,0,1346.7,1420,0.064,4,6,8,0.06880952380952385
193,fft/fft15,560,100,560.0,560,0.043,4,6,8,0.0
194,fft/fft39,820,1,882.2,940,0.065,4,6,8,0.07585365853658542
195,fft/fft95,1640,0,1691.2,1780,0.095,4,6,8,0.05700000000000003
196,fft/fft223,3620,0,3691.0,3840,0.19,4,6,8,0.04857954545454545
197,random/random30,751,32,773.59,828,0.059000000000000004,4,6,8,0.030079893475366222
198,random/random40,553,0,580.52,617,0.069,4,6,8,0.055490909090909056
199,random/random50,500,0,518.44,548,0.065,4,6,8,0.04524193548387108
200,morady/TG9,21,100,21.0,21,0.036000000000000004,4,6,9,0.0
201,morady/TG10,83,100,83.0,83,0.036000000000000004,4,6,9,0.0
202,morady/TG11,20,100,20.0,20,0.039,4,6,9,0.0
203,morady/TG12,27,79,27.84,31,0.038,4,6,9,0.031111111111111107
204,morady/TG14,35,37,36.32,38,0.039,4,6,9,0.03771428571428572
205,morady/TG17,37,87,37.13,38,0.044000000000000004,4,6,9,0.0035135135135135826
206,morady/TG18,440,44,459.8,490,0.040999999999999995,4,6,9,0.045000000000000026
207,morady/TGG9,16,100,16.0,16,0.03,4,6,9,0.0
208,morady/TGG11,49,100,49.0,49,0.03,4,6,9,0.0
209,morady/TGGG11,12,100,12.0,12,0.03,4,6,9,0.0
210,gauss/gauss27,67,5,70.88,77,0.045,4,6,9,0.05791044776119396
211,gauss/gauss35,91,2,95.58,102,0.047,4,6,9,0.05032967032967031
212,gauss/gauss44,116,1,122.24,130,0.06,4,6,9,0.05379310344827582
213,gauss/gauss65,177,0,184.63,201,0.075,4,6,9,0.06722543352601154
214,laplace/laplace9,520,100,520.0,520,0.036000000000000004,4,6,9,0.0
215,laplace/laplace16,760,97,760.7,790,0.035,4,6,9,0.0009210526315790072
216,laplace/laplace25,1000,6,1038.5,1070,0.034,4,6,9,0.0385
217,laplace/laplace36,1300,0,1347.4,1420,0.043,4,6,9,0.06936507936507944
218,fft/fft15,560,99,560.2,580,0.028999999999999998,4,6,9,0.00035714285714293835
219,fft/fft39,840,0,881.0,940,0.045,4,6,9,0.07439024390243902
220,fft/fft95,1640,0,1697.8,1780,0.073,4,6,9,0.06112499999999997
221,fft/fft223,3600,0,3708.2,3800,0.19,4,6,9,0.053465909090909036
222,random/random30,751,19,775.63,828,0.057999999999999996,4,6,9,0.03279627163781624
223,random/random40,555,0,582.67,621,0.068,4,6,9,0.059399999999999925
224,random/random50,496,5,518.16,556,0.068,4,6,9,0.04467741935483865
225,morady/TG9,21,100,21.0,21,0.042,4,6,10,0.0
226,morady/TG10,83,100,83.0,83,0.04,4,6,10,0.0
227,morady/TG11,20,100,20.0,20,0.044000000000000004,4,6,10,0.0
228,morady/TG12,27,78,27.86,31,0.042,4,6,10,0.03185185185185183
229,morady/TG14,35,30,36.48,38,0.046,4,6,10,0.0422857142857142
230,morady/TG17,37,91,37.09,38,0.05,4,6,10,0.0024324324324325247
231,morady/TG18,440,47,457.0,490,0.048,4,6,10,0.038636363636363635
232,morady/TGG9,16,100,16.0,16,0.038,4,6,10,0.0
233,morady/TGG11,49,100,49.0,49,0.048,4,6,10,0.0
234,morady/TGGG11,12,100,12.0,12,0.043,4,6,10,0.0
235,gauss/gauss27,67,8,70.84,78,0.053,4,6,10,0.057313432835820945
236,gauss/gauss35,91,2,96.14,102,0.062,4,6,10,0.05648351648351649
237,gauss/gauss44,116,1,122.17,129,0.062,4,6,10,0.05318965517241381
238,gauss/gauss65,177,0,184.82,199,0.08,4,6,10,0.06832369942196528
239,laplace/laplace9,520,100,520.0,520,0.047,4,6,10,0.0
240,laplace/laplace16,760,96,760.8,790,0.047,4,6,10,0.0010526315789473085
241,laplace/laplace25,1000,5,1039.2,1080,0.054000000000000006,4,6,10,0.03920000000000005
242,laplace/laplace36,1300,0,1348.9,1390,0.062,4,6,10,0.07055555555555562
243,fft/fft15,560,100,560.0,560,0.045,4,6,10,0.0
244,fft/fft39,840,0,879.6,920,0.07,4,6,10,0.07268292682926832
245,fft/fft95,1620,0,1688.0,1780,0.11199999999999999,4,6,10,0.055
246,fft/fft223,3600,0,3704.4,3860,0.19699999999999998,4,6,10,0.05238636363636366
247,random/random30,751,22,774.35,828,0.057,4,6,10,0.031091877496671135
248,random/random40,558,0,582.3,620,0.077,4,6,10,0.05872727272727264
249,random/random50,496,2,515.0,564,0.071,4,6,10,0.038306451612903226
250,morady/TG4,34,100,34.0,34,0.027999999999999997,4,6,1,0.0
251,morady/TG4,34,100,34.0,34,0.015,4,6,2,0.0
252,morady/TG4,34,100,34.0,34,0.017,4,6,3,0.0
253,morady/TG4,34,100,34.0,34,0.013000000000000001,4,6,4,0.0
254,morady/TG4,34,100,34.0,34,0.019,4,6,5,0.0
255,morady/TG4,34,100,34.0,34,0.019,4,6,6,0.0
256,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,7,0.0
257,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,8,0.0
258,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,9,0.0
259,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,10,0.0
