grafo,best,conv,avg,worst,time,procs,conf,npops,deviation
morady/TG9,21,100,21,21,0.032,4,6,1,0.00%
morady/TG10,83,100,83,83,0.033,4,6,1,0.00%
morady/TG11,20,100,20,20,0.034,4,6,1,0.00%
morady/TG12,27,81,27.76,31,0.034,4,6,1,2.81%
morady/TG14,35,31,36.61,39,0.035,4,6,1,4.60%
morady/TG17,37,74,37.26,38,0.041,4,6,1,0.70%
morady/TG18,440,35,462.8,490,0.04,4,6,1,5.18%
morady/TGG9,16,100,16,16,0.043,4,6,1,0.00%
morady/TGG11,49,100,49,49,0.038,4,6,1,0.00%
morady/TGGG11,12,100,12,12,0.034,4,6,1,0.00%
gauss/gauss27,67,2,71.07,80,0.048,4,6,1,6.07%
gauss/gauss35,91,1,96.45,102,0.06,4,6,1,5.99%
gauss/gauss44,116,1,124.37,132,0.067,4,6,1,7.22%
gauss/gauss65,176,0,186.92,201,0.084,4,6,1,8.05%
laplace/laplace9,520,100,520,520,0.032,4,6,1,0.00%
laplace/laplace16,760,96,760.8,790,0.039,4,6,1,0.11%
laplace/laplace25,1000,3,1043.4,1100,0.047,4,6,1,4.34%
laplace/laplace36,1300,0,1352.3,1420,0.06,4,6,1,7.33%
fft/fft15,560,98,560.4,580,0.038,4,6,1,0.07%
fft/fft39,840,0,877.8,940,0.061,4,6,1,7.05%
fft/fft95,1620,0,1674.8,1760,0.102,4,6,1,4.67%
fft/fft223,3580,0,3666.2,3760,0.214,4,6,1,4.15%
random/random30,751,35,772.08,828,0.058,4,6,1,2.81%
random/random40,555,0,578.77,630,0.071,4,6,1,5.23%
random/random50,496,4,518.72,548,0.065,4,6,1,4.58%
morady/TG9,21,100,21,21,0.017,4,6,2,0.00%
morady/TG10,83,100,83,83,0.017,4,6,2,0.00%
morady/TG11,20,100,20,20,0.018,4,6,2,0.00%
morady/TG12,27,80,27.8,31,0.018,4,6,2,2.96%
morady/TG14,35,39,36.36,38,0.018,4,6,2,3.89%
morady/TG17,37,75,37.25,38,0.021,4,6,2,0.68%
morady/TG18,440,35,462.9,490,0.021,4,6,2,5.20%
morady/TGG9,16,100,16,16,0.017,4,6,2,0.00%
morady/TGG11,49,100,49,49,0.018,4,6,2,0.00%
morady/TGGG11,12,100,12,12,0.018,4,6,2,0.00%
gauss/gauss27,67,1,71.6,78,0.026,4,6,2,6.87%
gauss/gauss35,91,1,96.06,103,0.032,4,6,2,5.56%
gauss/gauss44,118,0,123.67,134,0.036,4,6,2,6.61%
gauss/gauss65,176,0,186.8,198,0.047,4,6,2,7.98%
laplace/laplace9,520,100,520,520,0.017,4,6,2,0.00%
laplace/laplace16,760,94,761.4,790,0.021,4,6,2,0.18%
laplace/laplace25,1000,4,1042,1080,0.025,4,6,2,4.20%
laplace/laplace36,1300,0,1355.2,1400,0.033,4,6,2,7.56%
fft/fft15,560,98,560.4,580,0.02,4,6,2,0.07%
fft/fft39,840,0,880.6,940,0.033,4,6,2,7.39%
fft/fft95,1620,0,1679.4,1780,0.057,4,6,2,4.96%
fft/fft223,3560,0,3664.8,3840,0.124,4,6,2,4.11%
random/random30,751,46,768.64,826,0.031,4,6,2,2.35%
random/random40,554,0,579.65,618,0.04,4,6,2,5.39%
random/random50,496,2,518.84,564,0.036,4,6,2,4.60%
morady/TG9,21,100,21,21,0.02,4,6,3,0.00%
morady/TG10,83,100,83,83,0.02,4,6,3,0.00%
morady/TG11,20,100,20,20,0.021,4,6,3,0.00%
morady/TG12,27,81,27.76,31,0.021,4,6,3,2.81%
morady/TG14,35,34,36.42,38,0.022,4,6,3,4.06%
morady/TG17,37,76,37.24,38,0.025,4,6,3,0.65%
morady/TG18,440,37,462.9,490,0.024,4,6,3,5.20%
morady/TGG9,16,100,16,16,0.02,4,6,3,0.00%
morady/TGG11,49,100,49,49,0.021,4,6,3,0.00%
morady/TGGG11,12,100,12,12,0.021,4,6,3,0.00%
gauss/gauss27,67,4,71.44,77,0.028,4,6,3,6.63%
gauss/gauss35,91,1,96.17,102,0.036,4,6,3,5.68%
gauss/gauss44,118,0,123.24,132,0.041,4,6,3,6.24%
gauss/gauss65,178,0,187.02,200,0.052,4,6,3,8.10%
laplace/laplace9,520,100,520,520,0.02,4,6,3,0.00%
laplace/laplace16,760,97,760.9,790,0.023,4,6,3,0.12%
laplace/laplace25,1000,9,1040.1,1080,0.027,4,6,3,4.01%
laplace/laplace36,1310,0,1348.6,1390,0.037,4,6,3,7.03%
fft/fft15,560,97,560.6,580,0.023,4,6,3,0.11%
fft/fft39,840,0,883.6,940,0.037,4,6,3,7.76%
fft/fft95,1620,0,1677.4,1760,0.065,4,6,3,4.84%
fft/fft223,3560,0,3672.8,3800,0.132,4,6,3,4.34%
random/random30,751,26,774.77,828,0.034,4,6,3,3.17%
random/random40,556,0,581.25,623,0.042,4,6,3,5.68%
random/random50,496,1,519.96,556,0.04,4,6,3,4.83%
morady/TG9,21,100,21,21,0.018,4,6,4,0.00%
morady/TG10,83,100,83,83,0.02,4,6,4,0.00%
morady/TG11,20,100,20,20,0.018,4,6,4,0.00%
morady/TG12,27,81,27.74,31,0.022,4,6,4,2.74%
morady/TG14,35,39,36.36,39,0.016,4,6,4,3.89%
morady/TG17,37,81,37.19,38,0.018,4,6,4,0.51%
morady/TG18,440,30,464,490,0.026,4,6,4,5.45%
morady/TGG9,16,100,16,16,0.021,4,6,4,0.00%
morady/TGG11,49,100,49,49,0.024,4,6,4,0.00%
morady/TGGG11,12,100,12,12,0.019,4,6,4,0.00%
gauss/gauss27,67,5,70.9,78,0.023,4,6,4,5.82%
gauss/gauss35,92,0,96.29,102,0.037,4,6,4,5.81%
gauss/gauss44,116,1,123.72,131,0.052,4,6,4,6.66%
gauss/gauss65,176,0,186.25,199,0.089,4,6,4,7.66%
laplace/laplace9,520,100,520,520,0.035,4,6,4,0.00%
laplace/laplace16,760,94,761.4,790,0.042,4,6,4,0.18%
laplace/laplace25,1000,4,1041.7,1080,0.044,4,6,4,4.17%
laplace/laplace36,1280,0,1355.5,1400,0.057,4,6,4,7.58%
fft/fft15,560,99,560.2,580,0.032,4,6,4,0.04%
fft/fft39,860,0,883.4,940,0.068,4,6,4,7.73%
fft/fft95,1600,1,1688.2,1800,0.113,4,6,4,5.51%
fft/fft223,3560,0,3673.4,3820,0.203,4,6,4,4.36%
random/random30,751,26,780.88,872,0.065,4,6,4,3.98%
random/random40,557,0,581.57,610,0.07,4,6,4,5.74%
random/random50,496,2,518.04,568,0.062,4,6,4,4.44%
morady/TG9,21,100,21,21,0.046,4,6,5,0.00%
morady/TG10,83,100,83,83,0.054,4,6,5,0.00%
morady/TG11,20,100,20,20,0.048,4,6,5,0.00%
morady/TG12,27,89,27.44,31,0.053,4,6,5,1.63%
morady/TG14,35,34,36.45,38,0.054,4,6,5,4.14%
morady/TG17,37,82,37.18,38,0.052,4,6,5,0.49%
morady/TG18,440,38,460.9,490,0.055,4,6,5,4.75%
morady/TGG9,16,100,16,16,0.046,4,6,5,0.00%
morady/TGG11,49,100,49,49,0.05,4,6,5,0.00%
morady/TGGG11,12,100,12,12,0.048,4,6,5,0.00%
gauss/gauss27,67,4,71.16,77,0.054,4,6,5,6.21%
gauss/gauss35,93,0,96.13,103,0.048,4,6,5,5.64%
gauss/gauss44,116,1,123.4,132,0.057,4,6,5,6.38%
gauss/gauss65,175,0,186.13,206,0.07,4,6,5,7.59%
laplace/laplace9,520,100,520,520,0.027,4,6,5,0.00%
laplace/laplace16,760,90,762.1,800,0.032,4,6,5,0.28%
laplace/laplace25,1000,6,1040.4,1100,0.037,4,6,5,4.04%
laplace/laplace36,1300,0,1353.3,1400,0.048,4,6,5,7.40%
fft/fft15,560,98,560.4,580,0.033,4,6,5,0.07%
fft/fft39,840,0,882.8,940,0.053,4,6,5,7.66%
fft/fft95,1620,0,1689,1800,0.086,4,6,5,5.56%
fft/fft223,3600,0,3689.4,3840,0.166,4,6,5,4.81%
random/random30,751,28,776.36,828,0.045,4,6,5,3.38%
random/random40,554,0,582.08,614,0.054,4,6,5,5.83%
random/random50,496,2,518.52,560,0.053,4,6,5,4.54%
morady/TG9,21,100,21,21,0.026,4,6,6,0.00%
morady/TG10,83,100,83,83,0.027,4,6,6,0.00%
morady/TG11,20,100,20,20,0.027,4,6,6,0.00%
morady/TG12,27,85,27.6,31,0.027,4,6,6,2.22%
morady/TG14,35,34,36.45,38,0.029,4,6,6,4.14%
morady/TG17,37,88,37.12,38,0.031,4,6,6,0.32%
morady/TG18,440,34,461.7,490,0.031,4,6,6,4.93%
morady/TGG9,16,100,16,16,0.025,4,6,6,0.00%
morady/TGG11,49,100,49,49,0.027,4,6,6,0.00%
morady/TGGG11,12,100,12,12,0.027,4,6,6,0.00%
gauss/gauss27,67,4,70.98,78,0.04,4,6,6,5.94%
gauss/gauss35,91,1,96.07,102,0.044,4,6,6,5.57%
gauss/gauss44,118,0,123.41,134,0.06,4,6,6,6.39%
gauss/gauss65,177,0,185.44,198,0.082,4,6,6,7.19%
laplace/laplace9,520,100,520,520,0.03,4,6,6,0.00%
laplace/laplace16,760,97,760.7,790,0.031,4,6,6,0.09%
laplace/laplace25,1000,2,1041.6,1080,0.035,4,6,6,4.16%
laplace/laplace36,1300,0,1355,1390,0.044,4,6,6,7.54%
fft/fft15,560,100,560,560,0.03,4,6,6,0.00%
fft/fft39,840,0,881.8,940,0.046,4,6,6,7.54%
fft/fft95,1640,0,1690.2,1780,0.079,4,6,6,5.64%
fft/fft223,3580,0,3688.8,3820,0.15,4,6,6,4.80%
random/random30,751,20,778.61,828,0.042,4,6,6,3.68%
random/random40,551,0,580.69,626,0.05,4,6,6,5.58%
random/random50,496,5,516.04,552,0.049,4,6,6,4.04%
morady/TG9,21,100,21,21,0.029,4,6,7,0.00%
morady/TG10,83,100,83,83,0.028,4,6,7,0.00%
morady/TG11,20,100,20,20,0.029,4,6,7,0.00%
morady/TG12,27,82,27.72,31,0.03,4,6,7,2.67%
morady/TG14,35,39,36.27,38,0.03,4,6,7,3.63%
morady/TG17,37,89,37.11,38,0.032,4,6,7,0.30%
morady/TG18,440,49,458.7,490,0.032,4,6,7,4.25%
morady/TGG9,16,100,16,16,0.029,4,6,7,0.00%
morady/TGG11,49,100,49,49,0.03,4,6,7,0.00%
morady/TGGG11,12,100,12,12,0.03,4,6,7,0.00%
gauss/gauss27,67,12,70.37,77,0.038,4,6,7,5.03%
gauss/gauss35,91,1,95.92,102,0.045,4,6,7,5.41%
gauss/gauss44,118,0,122.96,133,0.052,4,6,7,6.00%
gauss/gauss65,175,0,185.16,195,0.063,4,6,7,7.03%
laplace/laplace9,520,100,520,520,0.027,4,6,7,0.00%
laplace/laplace16,760,98,760.4,790,0.033,4,6,7,0.05%
laplace/laplace25,1000,3,1041,1090,0.037,4,6,7,4.10%
laplace/laplace36,1310,0,1355.4,1390,0.047,4,6,7,7.57%
fft/fft15,560,99,560.2,580,0.03,4,6,7,0.04%
fft/fft39,840,0,880.2,940,0.048,4,6,7,7.34%
fft/fft95,1620,0,1692.4,1780,0.078,4,6,7,5.78%
fft/fft223,3600,0,3684.4,3820,0.166,4,6,7,4.67%
random/random30,751,30,773.2,828,0.042,4,6,7,2.96%
random/random40,552,0,577.87,612,0.052,4,6,7,5.07%
random/random50,496,1,518.04,544,0.052,4,6,7,4.44%
morady/TG9,21,100,21,21,0.026,4,6,8,0.00%
morady/TG10,83,100,83,83,0.027,4,6,8,0.00%
morady/TG11,20,100,20,20,0.027,4,6,8,0.00%
morady/TG12,27,81,27.76,31,0.028,4,6,8,2.81%
morady/TG14,35,39,36.32,38,0.03,4,6,8,3.77%
morady/TG17,37,88,37.12,38,0.031,4,6,8,0.32%
morady/TG18,440,44,458.6,490,0.032,4,6,8,4.23%
morady/TGG9,16,100,16,16,0.026,4,6,8,0.00%
morady/TGG11,49,100,49,49,0.029,4,6,8,0.00%
morady/TGGG11,12,100,12,12,0.028,4,6,8,0.00%
gauss/gauss27,67,3,70.63,77,0.037,4,6,8,5.42%
gauss/gauss35,91,1,95.9,102,0.044,4,6,8,5.38%
gauss/gauss44,118,0,122.63,130,0.048,4,6,8,5.72%
gauss/gauss65,175,0,185.9,196,0.062,4,6,8,7.46%
laplace/laplace9,520,100,520,520,0.036,4,6,8,0.00%
laplace/laplace16,760,99,760.1,770,0.046,4,6,8,0.01%
laplace/laplace25,1000,3,1042.6,1080,0.051,4,6,8,4.26%
laplace/laplace36,1270,0,1346.7,1420,0.064,4,6,8,6.88%
fft/fft15,560,100,560,560,0.043,4,6,8,0.00%
fft/fft39,820,1,882.2,940,0.065,4,6,8,7.59%
fft/fft95,1640,0,1691.2,1780,0.095,4,6,8,5.70%
fft/fft223,3620,0,3691,3840,0.19,4,6,8,4.86%
random/random30,751,32,773.59,828,0.059,4,6,8,3.01%
random/random40,553,0,580.52,617,0.069,4,6,8,5.55%
random/random50,500,0,518.44,548,0.065,4,6,8,4.52%
morady/TG9,21,100,21,21,0.036,4,6,9,0.00%
morady/TG10,83,100,83,83,0.036,4,6,9,0.00%
morady/TG11,20,100,20,20,0.039,4,6,9,0.00%
morady/TG12,27,79,27.84,31,0.038,4,6,9,3.11%
morady/TG14,35,37,36.32,38,0.039,4,6,9,3.77%
morady/TG17,37,87,37.13,38,0.044,4,6,9,0.35%
morady/TG18,440,44,459.8,490,0.041,4,6,9,4.50%
morady/TGG9,16,100,16,16,0.03,4,6,9,0.00%
morady/TGG11,49,100,49,49,0.03,4,6,9,0.00%
morady/TGGG11,12,100,12,12,0.03,4,6,9,0.00%
gauss/gauss27,67,5,70.88,77,0.045,4,6,9,5.79%
gauss/gauss35,91,2,95.58,102,0.047,4,6,9,5.03%
gauss/gauss44,116,1,122.24,130,0.06,4,6,9,5.38%
gauss/gauss65,177,0,184.63,201,0.075,4,6,9,6.72%
laplace/laplace9,520,100,520,520,0.036,4,6,9,0.00%
laplace/laplace16,760,97,760.7,790,0.035,4,6,9,0.09%
laplace/laplace25,1000,6,1038.5,1070,0.034,4,6,9,3.85%
laplace/laplace36,1300,0,1347.4,1420,0.043,4,6,9,6.94%
fft/fft15,560,99,560.2,580,0.029,4,6,9,0.04%
fft/fft39,840,0,881,940,0.045,4,6,9,7.44%
fft/fft95,1640,0,1697.8,1780,0.073,4,6,9,6.11%
fft/fft223,3600,0,3708.2,3800,0.19,4,6,9,5.35%
random/random30,751,19,775.63,828,0.058,4,6,9,3.28%
random/random40,555,0,582.67,621,0.068,4,6,9,5.94%
random/random50,496,5,518.16,556,0.068,4,6,9,4.47%
morady/TG9,21,100,21,21,0.042,4,6,10,0.00%
morady/TG10,83,100,83,83,0.04,4,6,10,0.00%
morady/TG11,20,100,20,20,0.044,4,6,10,0.00%
morady/TG12,27,78,27.86,31,0.042,4,6,10,3.19%
morady/TG14,35,30,36.48,38,0.046,4,6,10,4.23%
morady/TG17,37,91,37.09,38,0.05,4,6,10,0.24%
morady/TG18,440,47,457,490,0.048,4,6,10,3.86%
morady/TGG9,16,100,16,16,0.038,4,6,10,0.00%
morady/TGG11,49,100,49,49,0.048,4,6,10,0.00%
morady/TGGG11,12,100,12,12,0.043,4,6,10,0.00%
gauss/gauss27,67,8,70.84,78,0.053,4,6,10,5.73%
gauss/gauss35,91,2,96.14,102,0.062,4,6,10,5.65%
gauss/gauss44,116,1,122.17,129,0.062,4,6,10,5.32%
gauss/gauss65,177,0,184.82,199,0.08,4,6,10,6.83%
laplace/laplace9,520,100,520,520,0.047,4,6,10,0.00%
laplace/laplace16,760,96,760.8,790,0.047,4,6,10,0.11%
laplace/laplace25,1000,5,1039.2,1080,0.054,4,6,10,3.92%
laplace/laplace36,1300,0,1348.9,1390,0.062,4,6,10,7.06%
fft/fft15,560,100,560,560,0.045,4,6,10,0.00%
fft/fft39,840,0,879.6,920,0.07,4,6,10,7.27%
fft/fft95,1620,0,1688,1780,0.112,4,6,10,5.50%
fft/fft223,3600,0,3704.4,3860,0.197,4,6,10,5.24%
random/random30,751,22,774.35,828,0.057,4,6,10,3.11%
random/random40,558,0,582.3,620,0.077,4,6,10,5.87%
random/random50,496,2,515,564,0.071,4,6,10,3.83%
morady/TG4,34,100,34,34,0.028,4,6,1,0.00%
morady/TG4,34,100,34,34,0.015,4,6,2,0.00%
morady/TG4,34,100,34,34,0.017,4,6,3,0.00%
morady/TG4,34,100,34,34,0.013,4,6,4,0.00%
morady/TG4,34,100,34,34,0.019,4,6,5,0.00%
morady/TG4,34,100,34,34,0.019,4,6,6,0.00%
morady/TG4,34,100,34,34,0.018,4,6,7,0.00%
morady/TG4,34,100,34,34,0.018,4,6,8,
morady/TG4,34,100,34,34,0.018,4,6,9,
morady/TG4,34,100,34,34,0.018,4,6,10,